date,mean_px,std_px,n,mean_mm,std_mm
19.10,61.239541637542374,36.414927029484666,691,14.223239592014297,8.457578518983563
20.10,63.52021418382024,47.400075414869605,520,14.752939050717515,11.008943099141929
21.10,60.26994981242112,39.14569829447102,396,13.998046253423015,9.091816021980778
24.10,63.40373088623713,28.281186108671037,1172,14.725885127619947,6.568469900554884
25.10,61.88242825685263,30.240386689945414,629,14.372553747091908,7.0235056263480375
26.10,63.822801489002096,29.744954342051255,580,14.823216711588595,6.908438583105949
27.10,62.072793879791426,34.01601538187141,827,14.416767269805176,7.900417341553066
29.10,68.68412244226909,36.87337690318082,1205,15.952286766704875,8.56405616757706
31.10,61.81279006858424,40.5777591738808,1454,14.35637987299015,9.424420487225653
3.11,63.258465171153404,39.21866032415628,1418,14.692146320716883,9.108761877576422
